"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 31 18:22:19 IST 2024","Tue Dec 31 18:22:19 IST 2024","511","TestCases.indianBank","test_indianBank_cp","TestIndianBankCP","","","test_send_cp_for_approval",""
"passed","Tue Dec 31 18:26:17 IST 2024","Tue Dec 31 18:26:17 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_ecom_daily_txn_limit_more_than_the_card_daily_txn_limit",""
"passed","Tue Dec 31 18:27:38 IST 2024","Tue Dec 31 18:27:38 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_cl_daily_limit_with_less_than_card_daily_txn_limit",""
"passed","Tue Dec 31 18:22:19 IST 2024","Tue Dec 31 18:22:20 IST 2024","189","TestCases.indianBank","test_indianBank_cp","TestIndianBankCP","","","test_add_delivery_charges_at_card_program",""
"passed","Tue Dec 31 18:22:37 IST 2024","Tue Dec 31 18:22:43 IST 2024","6024","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_create_indianBank_gpr_digital_card",""
"passed","Tue Dec 31 18:22:19 IST 2024","Tue Dec 31 18:22:19 IST 2024","194","TestCases.indianBank","test_indianBank_cp","TestIndianBankCP","","","test_add_issuance_charges_at_card_program",""
"passed","Tue Dec 31 18:24:55 IST 2024","Tue Dec 31 18:24:55 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_pos_verify_daily_txn_limit_with_negative_balance",""
"skipped","Tue Dec 31 18:23:31 IST 2024","Tue Dec 31 18:23:31 IST 2024","0","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_indianBank_maximum_holding_amount",""
"failed","Tue Dec 31 18:25:49 IST 2024","Tue Dec 31 18:26:17 IST 2024","27239","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_ecom_per_txn_limit_with_less_than_per_txn_limit",""
"passed","Tue Dec 31 18:22:20 IST 2024","Tue Dec 31 18:22:20 IST 2024","213","TestCases.indianBank","test_indianBank_cp","TestIndianBankCP","","","test_add_Atm_Charges_for_Indian_bank",""
"passed","Tue Dec 31 18:22:19 IST 2024","Tue Dec 31 18:22:19 IST 2024","216","TestCases.indianBank","test_indianBank_cp","TestIndianBankCP","","","test_create_indianBank_gpr_card_program",""
"passed","Tue Dec 31 18:27:38 IST 2024","Tue Dec 31 18:27:38 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_cl_daily_txn_limit_more_than_card_daily_limit",""
"passed","Tue Dec 31 18:26:17 IST 2024","Tue Dec 31 18:26:17 IST 2024","1","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_ecom_daily_limit_with_less_than_card_daily_txn_limit",""
"passed","Tue Dec 31 18:22:43 IST 2024","Tue Dec 31 18:22:44 IST 2024","1211","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_do_min_kyc_indianBank_digital_card",""
"passed","Tue Dec 31 18:23:03 IST 2024","Tue Dec 31 18:23:08 IST 2024","5684","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_do_first_insta_card_load_for_indian_bank",""
"failed","Tue Dec 31 18:24:55 IST 2024","Tue Dec 31 18:25:22 IST 2024","27160","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_ecom_txn_more_than_card_availibale_balance",""
"passed","Tue Dec 31 18:26:17 IST 2024","Tue Dec 31 18:26:17 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_ecom_daily_txn_limit_more_than_card_daily_limit",""
"passed","Tue Dec 31 18:25:49 IST 2024","Tue Dec 31 18:25:49 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_ecom_per_txn_limit_with_negative_balance",""
"skipped","Tue Dec 31 18:23:03 IST 2024","Tue Dec 31 18:23:03 IST 2024","0","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_do_min_kyc_indianBank_insta_card",""
"passed","Tue Dec 31 18:27:11 IST 2024","Tue Dec 31 18:27:11 IST 2024","0","TestCases.indianBank","test_indianBank_ECOM_POS_CL_min_kyc_txn_limit","TestIndianBankEcomMinKycLimit","","","test_verify_cl_per_txn_limit_with_negative_balance",""
"passed","Tue Dec 31 18:22:22 IST 2024","Tue Dec 31 18:22:28 IST 2024","6101","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_create_indianBank_gpr_personalized_card",""
"skipped","Tue Dec 31 18:23:03 IST 2024","Tue Dec 31 18:23:03 IST 2024","0","TestCases.indianBank","test_indianBank_card","TestIndianBankCard","","","test_do_full_kyc_indianBank_insta_card",""
